Primary Key,Service,Term,Username,Name,Update,Location,URL,Friends,Followers,Time(PDT),City,State/Region,Country,Metro,Latitude,Longitude
1,twitter,lakers,_prettybrown,J Money,@SnkrFrsh_JETS you been dick ridin the lakers all day,"Everywhere, you never there.",,1042,1538,6/3/2010 17:00,,,,,,
2,twitter,lakers,CarlyManning24,ashli,RT @Doodlebug1229: @Ali_Sweeney My daughter got a laker jersey as a somewhat birthday present. She is soooo wearing it tonight./lakers wtf,"dayton, ohio",,278,304,6/3/2010 17:00,Dayton,OH,US,Dayton OH,39.846867,-84.11282
3,twitter,lakers,madzLuvzLakers,Madeline Lakers,i am! :) RT @GoingYardLA If you're a #Lakers fan then #teamfollowback,"LAKERLAND, Los Angeles",http://www.facebook.com/madzLuvzLakers?ref=profile,619,1039,6/3/2010 17:00,Los Angeles,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.009842,-118.258642
4,twitter,"celtics,lakers",_AyyJayy,AyJay™. ---,Celtics RT @CHiGOAT Celtics or Lakers?,in your d r e a m s.,http://www.facebook.com/home.php?#!/profile.php?id=100000926596946&ref=profile,203,204,6/3/2010 17:00,,,,,,
5,twitter,lakers,Akeemoneale,Andwele A. O.  Boyce,Is rooting fot the Lakers and Ron Artez,Barbados,http://andweleboyce.wordpress.com,165,27,6/3/2010 17:00,,,,,,
6,twitter,"lakers,celtics",demetricel,Lisabeth Demetrice,Lakers Celtics tickets http://getticketsfast.info/1/nba/ just a few left #Celtics @LakersFanZone #Kobe,,,0,0,6/3/2010 17:00,,,,,,
7,twitter,lakers,MrKooman,Mr.Kooman ♬ Producer,"@JoonJukx LOL, ALL GOOD. Thank you sir, getting ready for the #LAKERS",LOS ANGELES,http://www.MrKooman.com,203,6001,6/3/2010 17:00,Los Angeles,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.009842,-118.258642
8,twitter,lakers,bri_quebengco,Brian Quebengco,"Today, I will stop work and watch my Boston Beat the Lakers!!!","Makati, Philippines",http://www.inoventdesign.com,28,30,6/3/2010 17:00,,,,,,
9,twitter,lakers,Lboogs82,Lesley Erin,"Ditto Bitch!! #GoCeltics RT @SerSam85 I know I'm a Cali girl but I do not like the Lakers sorry, Go Boston!",Da I.E. Cali,http://null,212,253,6/3/2010 17:00,,,,,,
10,twitter,"celtics,lakers",orccs,orlando mujica,"@Samyro112 FINAL NBA: Boston Celtics vs. L.A. Lakers

8:30 PM sport plus",caracas,,32,13,6/3/2010 17:00,,,,,,
11,twitter,lakers,prettyiddy,laurence alexander,Let go lakers! Let's go lakers! Let go lakers!,,,33,38,6/3/2010 17:00,,,,,,
12,twitter,"lakers,celtics",N8_Anderson,Nate Anderson,Countdown to LAKERS/celtics! Game 1 in 60 minutes! Go Lakers!!!,"ÜT: 32.894981,-97.287499",,56,27,6/3/2010 17:00,Fort Worth,TX,US,Dallas-Fort Worth-Arlington TX,32.867288,-97.253519
13,twitter,lakers,2nd_Nature,RAMON MORGAN,@THEREALKNOTCH LOL! Lakers baby!! When tha movie goes down on Fig u not invited!! LOL,Los Angeles,http://www.myspace.com/2econdnature,151,80,6/3/2010 17:00,Los Angeles,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.009842,-118.258642
14,twitter,lakers,Alixebaby,Alixe,RT @sasultana: I just sneezed 3x in a row.... That's a good luck sign... #Lakers are gonna win tonight» #teamlakers,"ÜT: 43.78839,-79.699356",,98,196,6/3/2010 17:00,,,,,,
15,twitter,lakers,MrBAAD,Tashaun Williams,@goodyCHOOshoes haha im sorry for you then... bu dont worry... u can unwind n relax to that lakers game once you get home,Miami,http://www.facebook.com/profile.php?id=514186015&ref=profile#!/profile.php?id=514186015&ref=ts,187,143,6/3/2010 17:00,Miami,FL,US,Miami-Fort Lauderdale-Pompano Beach FL,25.60441,-80.335216
16,twitter,"celtics,lakers",MplsGoddess,Alisa Stewart,Celtics!! RT @CHiGOAT: Celtics or Lakers?,"Minneapolis, MN",,119,228,6/3/2010 17:00,Minneapolis,MN,US,Minneapolis-St. Paul-Bloomington MN-WI,44.935513,-93.252926
17,twitter,lakers,Nana_Osei,NanaOsei Nkwantabisa,"After this game I'm gonna form a group on twitter called ""I hate LA Lakers""","ÜT: 5.64056,-0.230159",,72,121,6/3/2010 17:00,,,,,,
18,twitter,lakers,kristiblack09,Kristi Jones,"@beauknows, what channel does the lakers game come on tonight?? i cant find it anywhere. :|",Missouri,,219,54,6/3/2010 17:00,,MO,US,,,
